,Player,Nation,Pos,Squad,Age,Born,90s,Cmp_Total,Att_Total,Cmp%_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp%_Short,Cmp_Medium,Att_Medium,Cmp%_Medium,Cmp_Long,Att_Long,Cmp%_Long,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
18,Florin Andone,ro  ROU,"MF,FW",Brighton,26,1993,0.8,8,12,66.7,77,20,6,8,75.0,2,3,66.7,0,0,,0,0.0,0.0,1,0,0,0,0
19,Angeliño,es  ESP,DF,Manchester City,22,1997,4.7,335,426,78.6,6063,1711,140,154,90.9,156,192,81.3,35,66,53.0,0,1.2,-1.2,9,33,14,7,39
20,Faustino Anjorin,eng  ENG,FW,Chelsea,17,2001,0.2,7,7,100.0,121,14,3,3,100.0,4,4,100.0,0,0,,0,0.0,0.0,0,1,0,0,0
21,Michail Antonio,jm  JAM,FW,West Ham,29,1990,19.6,325,507,64.1,5127,1295,183,232,78.9,96,154,62.3,31,66,47.0,3,2.7,+0.3,21,21,14,8,32
22,Stuart Armstrong,sct  SCO,MF,Southampton,27,1992,19.1,466,612,76.1,7275,2375,255,301,84.7,157,199,78.9,37,63,58.7,3,1.1,+1.9,16,33,24,4,60
23,Kepa Arrizabalaga,es  ESP,GK,Chelsea,24,1994,33.0,877,1086,80.8,23673,12278,109,110,99.1,505,511,98.8,263,465,56.6,0,0.0,0.0,0,1,0,0,0
24,Christian Atsu,gh  GHA,"FW,MF",Newcastle Utd,27,1992,8.3,163,208,78.4,2591,563,86,94,91.5,58,70,82.9,13,30,43.3,3,0.9,+2.1,13,2,10,4,13
25,Pierre-Emerick Aubameyang,ga  GAB,FW,Arsenal,30,1989,34.8,612,888,68.9,9377,2584,344,433,79.4,222,323,68.7,33,73,45.2,3,2.9,+0.1,23,27,47,14,78
26,Serge Aurier,ci  CIV,DF,Tottenham,26,1992,30.0,1262,1654,76.3,20973,7402,640,715,89.5,506,655,77.3,99,205,48.3,5,2.8,+2.2,30,63,40,16,111
27,Jordan Ayew,gh  GHA,"FW,MF",Crystal Palace,27,1991,35.0,686,838,81.9,9695,1890,419,479,87.5,181,218,83.0,48,73,65.8,2,1.9,+0.1,26,42,22,0,49
28,César Azpilicueta,es  ESP,DF,Chelsea,29,1989,35.9,2267,2838,79.9,40363,15489,956,1077,88.8,1085,1281,84.7,189,369,51.2,6,5.8,+0.2,43,148,60,28,182
29,Eric Bailly,ci  CIV,DF,Manchester Utd,25,1994,1.7,64,72,88.9,1266,433,21,24,87.5,34,36,94.4,9,11,81.8,0,0.0,0.0,0,2,0,0,4
30,Leighton Baines,eng  ENG,DF,Everton,34,1984,4.5,168,209,80.4,2952,1099,82,87,94.3,74,86,86.0,12,30,40.0,0,0.7,-0.7,6,6,7,5,13
31,Fabián Balbuena,py  PAR,DF,West Ham,27,1991,13.1,361,487,74.1,8137,2891,101,123,82.1,179,208,86.1,78,144,54.2,0,0.0,0.0,0,24,2,0,30
32,George Baldock,eng  ENG,DF,Sheffield Utd,26,1993,38.0,1173,1552,75.6,18048,6540,690,764,90.3,364,467,77.9,85,211,40.3,3,2.5,+0.5,27,60,45,28,88
33,Phil Bardsley,sct  SCO,DF,Burnley,34,1985,21.0,599,897,66.8,11391,5401,265,296,89.5,237,334,71.0,84,224,37.5,1,0.7,+0.3,7,67,15,2,63
34,Ross Barkley,eng  ENG,MF,Chelsea,25,1993,12.3,540,616,87.7,10340,1952,235,271,86.7,208,225,92.4,86,100,86.0,4,2.8,+1.2,25,53,19,1,48
35,Ashley Barnes,eng  ENG,FW,Burnley,29,1989,15.0,155,253,61.3,2116,552,94,123,76.4,48,81,59.3,6,27,22.2,0,0.5,-0.5,4,6,10,0,22
36,Harvey Barnes,eng  ENG,"MF,FW",Leicester City,21,1997,23.1,559,729,76.7,8288,2048,323,387,83.5,190,240,79.2,28,51,54.9,8,3.5,+4.5,31,34,39,3,87
37,Chris Basham,eng  ENG,DF,Sheffield Utd,31,1988,36.0,1084,1461,74.2,20420,6633,465,527,88.2,443,606,73.1,147,267,55.1,1,1.0,0.0,12,64,12,8,60
38,Borja Bastón,es  ESP,"MF,FW",Aston Villa,26,1992,0.2,4,5,80.0,81,28,2,3,66.7,0,0,,2,2,100.0,0,0.0,0.0,0,1,0,0,2
39,Michy Batshuayi,be  BEL,FW,Chelsea,25,1993,2.7,61,76,80.3,774,85,37,45,82.2,16,18,88.9,3,4,75.0,1,0.2,+0.8,3,1,0,0,1
40,Jan Bednarek,pl  POL,DF,Southampton,23,1996,34.0,1143,1434,79.7,23194,7627,384,431,89.1,583,695,83.9,164,278,59.0,1,0.1,+0.9,2,66,2,0,62
41,Héctor Bellerín,es  ESP,DF,Arsenal,24,1995,12.9,558,686,81.3,9186,2754,265,298,88.9,248,293,84.6,35,57,61.4,0,0.3,-0.3,2,32,8,2,38
42,Nabil Bentaleb,dz  ALG,MF,Newcastle Utd,24,1994,8.3,347,404,85.9,6806,1178,119,132,90.2,167,188,88.8,51,66,77.3,0,0.2,-0.2,8,22,2,1,14
43,Christian Benteke,be  BEL,FW,Crystal Palace,28,1990,14.0,190,326,58.3,2804,722,103,168,61.3,66,113,58.4,10,20,50.0,1,2.1,-1.1,17,14,11,2,31
44,Jóhann Berg Guðmundsson,is  ISL,MF,Burnley,28,1990,6.9,132,192,68.8,2534,684,71,86,82.6,32,45,71.1,28,56,50.0,1,0.8,+0.2,10,4,9,8,10
45,Sander Berge,no  NOR,MF,Sheffield Utd,21,1998,10.5,298,386,77.2,5251,1145,137,164,83.5,121,146,82.9,35,53,66.0,1,0.4,+0.6,2,30,9,2,29
46,Steven Bergwijn,nl  NED,"FW,MF",Tottenham,21,1997,7.8,225,259,86.9,3150,545,140,155,90.3,67,76,88.2,8,13,61.5,1,1.0,0.0,13,10,11,4,12
47,Bernard,br  BRA,"MF,FW",Everton,26,1992,14.2,426,573,74.3,6998,1979,211,256,82.4,172,210,81.9,34,66,51.5,2,1.9,+0.1,22,38,26,6,59
48,Bernardo,br  BRA,DF,Brighton,24,1995,7.5,286,383,74.7,4721,2079,142,171,83.0,122,156,78.2,18,41,43.9,0,0.2,-0.2,3,26,8,3,39
49,Ryan Bertrand,eng  ENG,DF,Southampton,29,1989,30.5,1244,1656,75.1,20907,8996,656,754,87.0,453,572,79.2,106,240,44.2,1,3.6,-2.6,34,106,34,16,127
50,Muhamed Bešić,ba  BIH,MF,Sheffield Utd,26,1992,2.8,86,106,81.1,1516,328,49,54,90.7,26,31,83.9,10,16,62.5,0,0.1,-0.1,1,6,2,0,9
51,Philip Billing,dk  DEN,MF,Bournemouth,23,1996,28.1,878,1179,74.5,15933,3956,391,502,77.9,354,440,80.5,113,187,60.4,1,1.0,0.0,16,77,16,2,76
52,Yves Bissouma,ml  MLI,MF,Brighton,22,1996,14.0,525,622,84.4,10234,1965,224,255,87.8,209,238,87.8,84,111,75.7,0,0.1,-0.1,4,48,6,0,40
53,Willy Boly,ci  CIV,DF,Wolves,28,1991,22.0,793,959,82.7,15344,6024,306,337,90.8,391,440,88.9,87,161,54.0,1,0.3,+0.7,4,34,2,0,37
54,Gaëtan Bong,cm  CMR,"MF,DF",Brighton,31,1988,0.7,24,35,68.6,428,175,12,16,75.0,9,12,75.0,3,6,50.0,0,0.1,-0.1,2,3,1,1,3
55,Sofiane Boufal,ma  MAR,"MF,FW",Southampton,25,1993,8.5,247,325,76.0,3764,1068,156,183,85.2,66,90,73.3,20,37,54.1,2,2.7,-0.7,15,18,14,3,25
56,Jarrod Bowen,eng  ENG,FW,West Ham,22,1996,10.2,188,276,68.1,3704,1215,79,94,84.0,71,88,80.7,31,68,45.6,4,2.2,+1.8,14,12,9,4,18
57,Robbie Brady,ie  IRL,MF,Burnley,27,1992,5.0,108,167,64.7,1702,673,60,73,82.2,35,59,59.3,10,27,37.0,2,0.3,+1.7,8,6,7,1,19
58,Jarrad Branthwaite,eng  ENG,DF,Everton,17,2002,3.3,187,212,88.2,4351,1303,33,35,94.3,116,125,92.8,36,49,73.5,0,0.0,0.0,0,9,1,0,4
59,Claudio Bravo,cl  CHI,GK,Manchester City,36,1983,3.9,101,132,76.5,2698,1554,21,22,95.5,48,48,100.0,32,62,51.6,0,0.0,0.0,0,0,0,0,0
60,Armando Broja,al  ALB,FW,Chelsea,17,2001,0.1,2,2,100.0,13,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
61,David Brooks,wls  WAL,MF,Bournemouth,22,1997,5.6,121,179,67.6,1938,694,70,83,84.3,35,53,66.0,14,32,43.8,0,0.4,-0.4,5,7,9,5,20
62,Josh Brownhill,eng  ENG,MF,Burnley,23,1995,8.9,276,340,81.2,4324,1063,153,168,91.1,96,119,80.7,17,38,44.7,0,0.2,-0.2,4,19,2,0,17
63,Emi Buendía,ar  ARG,"FW,MF",Norwich City,22,1996,27.4,1144,1534,74.6,20522,7002,600,697,86.1,334,415,80.5,179,345,51.9,7,7.2,-0.2,79,145,58,4,173
64,Dan Burn,eng  ENG,DF,Brighton,27,1992,32.0,1389,1841,75.4,23985,8736,677,778,87.0,579,715,81.0,117,276,42.4,0,1.2,-1.2,18,111,21,8,106
65,Sam Byram,eng  ENG,DF,Norwich City,25,1993,14.4,625,763,81.9,9875,3375,336,370,90.8,236,286,82.5,39,75,52.0,0,0.5,-0.5,7,22,5,0,43
66,Willy Caballero,ar  ARG,GK,Chelsea,37,1981,5.0,121,165,73.3,3403,2177,23,23,100.0,55,55,100.0,43,87,49.4,0,0.0,0.0,0,0,0,0,0
67,Gary Cahill,eng  ENG,DF,Crystal Palace,33,1985,24.1,826,953,86.7,18604,5545,213,234,91.0,437,477,91.6,169,225,75.1,1,0.3,+0.7,2,34,2,0,34
68,Dominic Calvert-Lewin,eng  ENG,FW,Everton,22,1997,29.2,393,594,66.2,5940,1307,224,319,70.2,129,196,65.8,27,41,65.9,1,1.0,0.0,15,34,13,3,39
69,Víctor Camarasa,es  ESP,MF,Crystal Palace,25,1994,0.1,3,3,100.0,44,11,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
70,João Cancelo,pt  POR,DF,Manchester City,25,1994,13.4,1008,1147,87.9,18396,5054,444,478,92.9,442,496,89.1,116,148,78.4,0,1.7,-1.7,15,98,23,3,88
71,Todd Cantwell,eng  ENG,"FW,MF",Norwich City,21,1998,27.7,884,1106,79.9,13333,3044,524,601,87.2,257,317,81.1,65,114,57.0,2,2.8,-0.8,36,71,21,1,77
72,Étienne Capoue,fr  FRA,MF,Watford,31,1988,29.2,1159,1431,81.0,24267,6436,446,521,85.6,478,551,86.8,215,320,67.2,3,3.1,-0.1,19,130,8,1,118
73,Andy Carroll,eng  ENG,FW,Newcastle Utd,30,1989,7.0,134,207,64.7,2215,483,71,100,71.0,39,65,60.0,17,27,63.0,4,1.6,+2.4,11,12,9,2,15
74,Jonny Castro,es  ESP,DF,Wolves,25,1994,32.1,1177,1445,81.5,17892,5897,685,760,90.1,402,500,80.4,63,109,57.8,2,0.9,+1.1,19,53,20,5,87
75,Craig Cathcart,nir  NIR,DF,Watford,30,1989,27.6,716,860,83.3,15657,4879,229,255,89.8,331,369,89.7,149,222,67.1,0,0.0,0.0,1,37,3,1,38
76,Dani Ceballos,es  ESP,MF,Arsenal,22,1996,18.8,1096,1301,84.2,22107,5542,417,451,92.5,483,529,91.3,189,278,68.0,2,1.9,+0.1,29,120,30,2,105
77,Nathaniel Chalobah,eng  ENG,MF,Watford,24,1994,10.3,263,358,73.5,4592,1237,123,153,80.4,106,126,84.1,27,57,47.4,1,1.1,-0.1,8,24,4,0,34
78,Calum Chambers,eng  ENG,DF,Arsenal,24,1995,12.2,702,865,81.2,14269,4326,226,258,87.6,361,408,88.5,108,168,64.3,1,0.7,+0.3,4,36,5,2,45
79,Ben Chilwell,eng  ENG,DF,Leicester City,22,1996,26.4,1527,1955,78.1,26138,8345,749,828,90.5,638,778,82.0,124,278,44.6,3,3.6,-0.6,36,92,23,12,113
80,Tahith Chong,nl  NED,"FW,DF",Manchester Utd,19,1999,0.4,9,14,64.3,136,36,4,6,66.7,5,5,100.0,0,1,0.0,0,0.0,0.0,0,1,0,0,2
81,Hamza Choudhury,eng  ENG,MF,Leicester City,21,1997,9.9,428,494,86.6,7794,1523,179,197,90.9,188,209,90.0,52,67,77.6,1,0.1,+0.9,3,30,2,0,19
82,Andreas Christensen,dk  DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26595,6431,269,282,95.4,653,679,96.2,237,281,84.3,0,1.0,-1.0,4,82,2,0,47
83,Ciaran Clark,ie  IRL,DF,Newcastle Utd,29,1989,13.2,253,322,78.6,5411,2056,78,87,89.7,129,154,83.8,43,75,57.3,0,0.0,0.0,1,20,2,0,15
84,Leon Clarke,eng  ENG,"FW,MF",Sheffield Utd,34,1985,0.4,5,7,71.4,73,7,4,5,80.0,1,2,50.0,0,0,,0,0.0,0.0,0,0,0,0,0
85,Tom Cleverley,eng  ENG,MF,Watford,29,1989,10.8,366,469,78.0,5944,1970,200,218,91.7,115,143,80.4,34,83,41.0,0,0.5,-0.5,14,35,13,4,45
86,Conor Coady,eng  ENG,DF,Wolves,26,1993,38.0,1531,1782,85.9,42435,14948,225,244,92.2,767,814,94.2,529,701,75.5,0,0.7,-0.7,5,115,7,0,53
87,Séamus Coleman,ie  IRL,DF,Everton,30,1988,20.4,813,1058,76.8,14398,6119,388,432,89.8,339,429,79.0,76,143,53.1,1,0.6,+0.4,8,66,13,4,80
88,Aaron Connolly,ie  IRL,FW,Brighton,19,2000,14.0,126,163,77.3,1739,242,76,92,82.6,31,39,79.5,7,11,63.6,1,0.3,+0.7,6,6,2,0,10
89,Lewis Cook,eng  ENG,MF,Bournemouth,22,1997,15.0,560,719,77.9,11160,3293,226,271,83.4,244,290,84.1,83,130,63.8,0,1.0,-1.0,13,61,11,1,65
90,Steve Cook,eng  ENG,DF,Bournemouth,28,1991,27.0,993,1222,81.3,22720,7506,204,235,86.8,584,653,89.4,199,312,63.8,0,0.3,-0.3,3,49,3,0,56
91,Jack Cork,eng  ENG,MF,Burnley,30,1989,29.0,743,933,79.6,12443,2770,369,423,87.2,256,317,80.8,84,131,64.1,0,0.7,-0.7,10,55,9,1,61
92,Aaron Cresswell,eng  ENG,DF,West Ham,29,1989,30.3,1241,1681,73.8,21630,10702,619,679,91.2,473,599,79.0,131,315,41.6,0,1.8,-1.8,23,114,22,15,123
93,Patrick Cutrone,it  ITA,FW,Wolves,21,1998,3.3,38,56,67.9,488,67,25,33,75.8,11,16,68.8,0,5,0.0,0,0.0,0.0,1,2,0,0,1
94,Diogo Dalot,pt  POR,"DF,MF",Manchester Utd,20,1999,0.7,51,64,79.7,887,248,24,27,88.9,21,25,84.0,5,10,50.0,0,0.0,0.0,0,1,0,0,2
95,Charlie Daniels,eng  ENG,DF,Bournemouth,32,1986,1.4,35,49,71.4,700,326,13,14,92.9,13,18,72.2,6,14,42.9,0,0.1,-0.1,2,4,1,1,2
96,Scott Dann,eng  ENG,DF,Crystal Palace,32,1987,14.1,461,555,83.1,9842,4107,139,160,86.9,233,257,90.7,82,121,67.8,1,0.4,+0.6,5,24,0,0,28
97,Kevin Danso,at  AUT,DF,Southampton,20,1998,3.1,115,159,72.3,2051,905,59,68,86.8,43,53,81.1,13,35,37.1,1,0.2,+0.8,1,10,2,1,8
98,Ben Davies,wls  WAL,DF,Tottenham,26,1993,15.9,730,956,76.4,13130,5294,301,348,86.5,350,442,79.2,65,126,51.6,0,0.6,-0.6,10,62,9,6,69
99,Tom Davies,eng  ENG,MF,Everton,21,1998,22.5,681,870,78.3,13271,4037,264,324,81.5,312,359,86.9,97,151,64.2,0,0.3,-0.3,5,83,16,0,111
100,Keinan Davis,eng  ENG,FW,Aston Villa,21,1998,6.1,107,142,75.4,1475,201,65,82,79.3,30,41,73.2,7,8,87.5,0,0.2,-0.2,7,7,2,0,8
101,Craig Dawson,eng  ENG,DF,Watford,29,1990,26.2,731,909,80.4,17548,5769,191,218,87.6,334,375,89.1,202,302,66.9,0,0.3,-0.3,4,55,2,0,45
102,Kevin De Bruyne,be  BEL,MF,Manchester City,28,1991,31.0,1674,2244,74.6,34640,10497,634,767,82.7,717,880,81.5,297,507,58.6,20,18.4,+1.6,131,175,121,18,261
103,Troy Deeney,eng  ENG,FW,Watford,31,1988,24.7,404,705,57.3,6203,2062,231,350,66.0,133,246,54.1,26,61,42.6,2,3.6,-1.6,27,50,25,1,70
104,Fabian Delph,eng  ENG,MF,Everton,29,1989,13.2,676,778,86.9,14015,3544,248,269,92.2,295,323,91.3,126,170,74.1,0,0.3,-0.3,6,61,15,4,62
105,Leander Dendoncker,be  BEL,"MF,DF",Wolves,24,1995,31.1,1087,1284,84.7,22063,4879,382,456,83.8,527,589,89.5,170,203,83.7,0,0.6,-0.6,7,55,4,1,58
106,Gerard Deulofeu,es  ESP,FW,Watford,25,1994,23.3,603,823,73.3,10192,2557,305,362,84.3,204,256,79.7,68,132,51.5,5,4.6,+0.4,45,30,30,2,59
107,Eric Dier,eng  ENG,"DF,MF",Tottenham,25,1994,14.9,713,876,81.4,15425,4283,221,257,86.0,348,402,86.6,131,197,66.5,2,0.1,+1.9,4,56,3,0,43
108,Lucas Digne,fr  FRA,DF,Everton,26,1993,33.7,1353,1946,69.5,25922,11359,610,736,82.9,535,711,75.2,195,419,46.5,7,6.0,+1.0,70,98,41,24,151
109,Virgil van Dijk,nl  NED,DF,Liverpool,28,1991,38.0,2791,3085,90.5,65376,18443,634,678,93.5,1536,1619,94.9,607,766,79.2,1,1.3,-0.3,7,227,9,0,154
110,Issa Diop,fr  FRA,DF,West Ham,22,1997,30.7,755,948,79.6,15500,5635,263,292,90.1,338,391,86.4,137,226,60.6,1,0.9,+0.1,4,51,2,0,37
111,Moussa Djenepo,ml  MLI,"MF,DF",Southampton,21,1998,10.3,191,264,72.3,2738,896,115,135,85.2,57,79,72.2,11,29,37.9,2,1.3,+0.7,13,11,15,2,29
112,Matt Doherty,ie  IRL,DF,Wolves,27,1992,31.5,1369,1793,76.4,22400,9053,732,858,85.3,484,648,74.7,122,203,60.1,3,1.8,+1.2,23,86,18,9,152
113,Abdoulaye Doucouré,fr  FRA,MF,Watford,26,1993,35.1,1302,1658,78.5,21927,4818,633,757,83.6,503,612,82.2,121,176,68.8,2,2.6,-0.6,33,120,33,4,110
114,Thomas Doyle,eng  ENG,MF,Manchester City,17,2001,0.2,19,19,100.0,279,26,11,11,100.0,7,7,100.0,1,1,100.0,0,0.0,0.0,0,1,0,0,0
115,Josip Drmić,ch  SUI,"FW,MF",Norwich City,26,1992,7.2,125,164,76.2,1674,187,81,92,88.0,32,44,72.7,5,14,35.7,0,0.4,-0.4,3,5,0,0,5
116,Martin Dúbravka,sk  SVK,GK,Newcastle Utd,30,1989,38.0,595,1093,54.4,25699,19278,48,49,98.0,187,192,97.4,357,847,42.1,0,0.0,0.0,0,19,0,0,0
117,Ondrej Duda,sk  SVK,MF,Norwich City,24,1994,8.0,298,382,78.0,4770,1184,170,191,89.0,80,98,81.6,34,66,51.5,0,1.0,-1.0,14,17,10,2,23
118,Shane Duffy,ie  IRL,DF,Brighton,27,1992,13.8,515,613,84.0,12118,3497,128,143,89.5,272,302,90.1,110,157,70.1,0,0.0,0.0,1,26,4,0,23
119,Paul Dummett,wls  WAL,DF,Newcastle Utd,27,1991,13.6,358,502,71.3,6797,3378,144,168,85.7,166,198,83.8,45,122,36.9,0,0.1,-0.1,4,44,4,3,27
120,Lewis Dunk,eng  ENG,DF,Brighton,27,1991,35.9,1913,2192,87.3,45041,13471,451,497,90.7,1038,1084,95.8,413,589,70.1,3,1.1,+1.9,11,131,5,0,82
121,Ederson,br  BRA,GK,Manchester City,25,1993,34.1,927,1063,87.2,23473,13253,184,185,99.5,502,506,99.2,240,371,64.7,0,0.1,-0.1,1,11,0,0,0
122,John Egan,ie  IRL,DF,Sheffield Utd,26,1992,35.4,1017,1213,83.8,24150,6505,254,283,89.8,499,555,89.9,254,355,71.5,0,0.1,-0.1,1,67,2,0,65
123,Harvey Elliott,eng  ENG,DF,Liverpool,16,2003,0.1,12,15,80.0,204,79,7,7,100.0,4,5,80.0,1,3,33.3,0,0.0,0.0,0,2,1,1,1
124,Ahmed Elmohamady,eg  EGY,DF,Aston Villa,31,1987,11.5,484,633,76.5,9333,3713,211,232,90.9,189,241,78.4,78,138,56.5,1,2.6,-1.6,19,44,22,16,43
125,Björn Engels,be  BEL,DF,Aston Villa,24,1994,16.1,503,605,83.1,11927,3879,124,141,87.9,263,289,91.0,113,168,67.3,0,0.1,-0.1,1,46,1,1,35
126,Christian Eriksen,dk  DEN,"MF,FW",Tottenham,27,1992,12.2,549,743,73.9,10145,2771,272,316,86.1,186,241,77.2,84,167,50.3,2,2.0,0.0,23,57,22,1,57
127,Jonny Evans,nir  NIR,DF,Leicester City,31,1988,37.6,2088,2372,88.0,47140,13768,450,486,92.6,1261,1354,93.1,371,518,71.6,1,0.6,+0.4,7,144,5,1,117
128,Łukasz Fabiański,pl  POL,GK,West Ham,34,1985,23.5,378,672,56.3,17195,13319,25,25,100.0,91,93,97.8,261,551,47.4,0,0.0,0.0,0,7,0,0,0
129,Fabinho,br  BRA,MF,Liverpool,25,1993,23.1,1334,1528,87.3,27064,5347,445,488,91.2,659,733,89.9,211,272,77.6,3,1.8,+1.2,18,128,21,2,98
130,Ralf Fährmann,de  GER,GK,Norwich City,30,1988,0.2,7,10,70.0,127,79,5,5,100.0,0,1,0.0,2,4,50.0,0,0.0,0.0,0,0,0,0,0
131,Akin Famewo,eng  ENG,MF,Norwich City,20,1998,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
132,Kiko Femenía,es  ESP,DF,Watford,28,1991,24.9,998,1292,77.2,16236,6764,535,612,87.4,357,460,77.6,84,171,49.1,0,1.5,-1.5,19,55,28,16,77
133,Bruno Fernandes,pt  POR,MF,Manchester Utd,24,1994,13.2,608,853,71.3,11698,3233,285,339,84.1,220,284,77.5,97,192,50.5,7,2.5,+4.5,34,72,23,2,80
134,Gedson Fernandes,pt  POR,"MF,DF",Tottenham,20,1999,0.8,40,51,78.4,576,169,22,25,88.0,14,19,73.7,1,2,50.0,0,0.2,-0.2,2,1,3,1,5
135,Federico Fernández,ar  ARG,DF,Newcastle Utd,30,1989,29.1,907,1184,76.6,20097,8025,274,313,87.5,428,510,83.9,192,324,59.3,2,0.3,+1.7,3,42,7,4,32
136,Fernandinho,br  BRA,DF,Manchester City,34,1985,26.6,1985,2190,90.6,44219,14223,523,567,92.2,1078,1141,94.5,372,454,81.9,1,0.5,+0.5,7,226,11,1,165
137,Roberto Firmino,br  BRA,FW,Liverpool,27,1991,33.2,931,1171,79.5,14337,3589,505,603,83.7,320,386,82.9,64,81,79.0,8,6.3,+1.7,49,69,35,0,103
138,John Fleck,sct  SCO,MF,Sheffield Utd,27,1991,28.0,854,1164,73.4,15206,4966,403,469,85.9,305,370,82.4,115,246,46.7,2,3.3,-1.3,38,91,32,7,96
139,Phil Foden,eng  ENG,"FW,MF",Manchester City,19,2000,10.0,431,508,84.8,6922,1357,257,282,91.1,127,147,86.4,37,56,66.1,2,2.0,0.0,18,28,13,2,32
140,Pablo Fornals,es  ESP,"MF,FW",West Ham,23,1996,24.1,680,897,75.8,10965,3025,377,427,88.3,205,272,75.4,70,124,56.5,5,2.2,+2.8,18,49,27,6,65
141,Ben Foster,eng  ENG,GK,Watford,36,1983,38.0,533,1201,44.4,24826,20193,30,30,100.0,123,128,96.1,379,1042,36.4,0,0.0,0.0,0,30,2,0,0
142,Timothy Fosu-Mensah,nl  NED,DF,Manchester Utd,21,1998,1.5,62,73,84.9,1076,303,28,31,90.3,26,31,83.9,6,7,85.7,0,0.1,-0.1,2,2,0,0,5
